
 Function Code 1: FunctionCode.ReadCoils 

[12:42:39] Slave Response: [False, False, False, False, False, False, False, False]
[12:42:40] Slave Response: [False, False, False, False, False, False, False, False]
[12:42:40] Slave Response: [False, False, False, False, False, False, False, False]
[12:42:40] Slave Response: [False, False, False, False, False, False, False, False]
[12:42:40] Slave Response: [False, False, False, False, False, False, False, False]
[12:42:41] Slave Response: [False, False, False, False, False, False, False, False]
[12:42:41] Slave Response: [False, False, False, False, False, False, False, False]
[12:42:41] Slave Response: [False, False, False, False, False, False, False, False]
[12:42:41] Slave Response: [False, False, False, False, False, False, False, False]
[12:42:42] Slave Response: [False, False, False, False, False, False, False, False]
[12:42:42] Slave Response: [False, False, False, False, False, False, False, False]
[12:42:42] Slave Response: [False, False, False, False, False, False, False, False]
[12:42:42] Slave Response: [False, False, False, False, False, False, False, False]
[12:42:43] Slave Response: [False, False, False, False, False, False, False, False]
[12:42:43] Slave Response: [False, False, False, False, False, False, False, False]
[12:42:43] Slave Response: [False, False, False, False, False, False, False, False]
[12:42:43] Slave Response: [False, False, False, False, False, False, False, False]
[12:42:44] Slave Response: [False, False, False, False, False, False, False, False]
[12:42:44] Slave Response: [False, False, False, False, False, False, False, False]
[12:42:44] Slave Response: [False, False, False, False, False, False, False, False]
[12:42:44] Slave Response: [False, False, False, False, False, False, False, False]
[12:42:45] Slave Response: [False, False, False, False, False, False, False, False]
[12:42:45] Slave Response: [False, False, False, False, False, False, False, False]
